Title,Category,Duration,ClipURl,Tags
Lebron James I don't Know,1,5,https://res.cloudinary.com/djv8pig93/video/upload/v1593216384/zSa0vWtaKLj8ZhQB_ynmj9c.mp4,"Lebron James, Lakers, IDK, NBA"
Hey Y'all Come Look at This,13,6,https://res.cloudinary.com/djv8pig93/video/upload/v1593216384/ZZX_0Rc_DDgS25Ro_xnzi1d.mp4,"Lol,Laughing"
nicki minaj That Big Pause,5,5,https://res.cloudinary.com/djv8pig93/video/upload/v1593216383/ZQolF-PwJqnvmQYQ_m8gsli.mp4,"Nicki Minaj,big,pause,Barbs"
Group of people running Into stadium,1,14,https://res.cloudinary.com/djv8pig93/video/upload/v1593216383/Z5pjwwr8IWji-mD0_x3zz5p.mp4,"running,group,football"
Roman Regins Seth Rollins screaming at each other,1,12,https://res.cloudinary.com/djv8pig93/video/upload/v1593216383/z6_H0nDDYHSK33i3_lm4mrd.mp4,"Seth Rollins,Roman Regins,screaming,wwe"
Nicki minaj Doesn't Sit right in my spirit,5,3,https://res.cloudinary.com/djv8pig93/video/upload/v1593216383/yY3-5sBH8f9lqrhG_xmz8qu.mp4,"Nicki Minaj,Barbs"
john wall dougie,1,17,https://res.cloudinary.com/djv8pig93/video/upload/v1593216382/YDbF0Sy0v5xh-TCS_t7b5qd.mp4,"John Wall, Dougie,NBA,Baskeball"
vince mcmahon I enjoy destorying lives,1,4,https://res.cloudinary.com/djv8pig93/video/upload/v1593216382/YwrAuQQFr71j-8aY_l5a1t3.mp4,"vince mcmahon,lives,JR,wwe"
Nene Leakes What your problem,3,7,https://res.cloudinary.com/djv8pig93/video/upload/v1593216382/YQijJnL_86AEzvis_il4q6f.mp4,"nene leakes, problem,rhoa"
steph curry staring,1,7,https://res.cloudinary.com/djv8pig93/video/upload/v1593216382/YcbKBinfjkvbQHrc_mdxwna.mp4,"steph curry, staring,nba,Warriors"
charlamagne tha god that not it,5,1,https://res.cloudinary.com/djv8pig93/video/upload/v1593216381/y8NnzRy8AzCvPmcX_mavq9c.mp4,"charlamagne tha god, breakfast club, not it, hip hop"
"stephen a smith, I don't give a damn",1,4,https://res.cloudinary.com/djv8pig93/video/upload/v1593216381/Y4BfKyHvYLnqu1Wj_lbbnh3.mp4,"stephen a smith,espn, first take"
